Tipo,Subtipo,Núcleo,Período,Nome,CHS,P,NP,TOTAL,Temas de estudo,Resultados de aprendizagem,Pré-requisitos,Objetivos,Competências CD,Competências IA
,,Básico,1,Algorítmos 1,6,6,0,90,"TE1: Computadores: organização, características, funcionamento, descrição narrativa e fluxogramas (10h)
TE2: Algoritmos: tipos primitivos de dados, constantes e variáveis, expressões lógicas e aritméticas e práticas com programação (10h)
TE3: Estrutura de controle: desvio condicional e laços de repetição e práticas com programação (20h)
TE4: Modularização: funções, procedimentos, passagem de parâmetros e práticas com programação (20h)
TE5: Vetores, matrizes e registros: definições, manipulação e práticas com programação (20h)
TE6: Fundamentos de teste de software: teste de mesa e depuração (10h)",,,,"C.1.1, ",
,,Básico,1,Introdução a Sistemas Computacionais,2,2,0,30,"TE1: Arquiteturas gerais de computadores: organização, modelo de Von-Neumann, barramento, comunicações e interfaces com periféricos e hardware (10h)
TE2: Componentes e estrutura do SO: processo, memória, entrada/saída e sistema de arquivos (10h)
TE3: Administração de SO: configuração, scripts, serviços, gerenciamento de usuários, gerenciamento de tarefas e ferramentas de virtualização (10h)",,,,,
,,Básico,1,Introdução à Ciência de Dados e IA,2,2,0,30,"TE1: Profissional de Ciência de Dados e IA: riscos no ambiente de trabalho (incêndio e desastres), visão geral do profissional, áreas de atuação e relações com o perfil do egresso do curso da UTFPR (8h)                                                  
TE2: Aspectos da profissão: desafios do profissional, conceitos de ética e código de ética profissional (8h) 
TE3: Visão de mercado: novas demandas e impactos no profissional, interdisciplinariedade e a aplicação em dimensões social (desenho universal), política, econômica, cultural e ambiental (14h)",,,,,
,,Básico,1,Fundamentos de Matemática,4,4,0,60,"TE1: Conjuntos numéricos e intervalos: operações e representações (12h)
TE2: Álgebra básica: operações com polinômios, produtos, notáveis, propriedades da potenciação e radiciação, equações e inequações (métodos de resolução e validação) (12h)
TE3: Funções: conceitos, tipos de função representação algébrica, e gráfica com o auxílio de software classificações e aplicações na engenharia (16h)
TE4: Trigonometria no triângulo retângulo e no ciclo trigonométrico: razões trigonométricas no triângulo retângulo, medidas de ângulos em graus e radianos, o ciclo trigonométrico, funções trigonométricas e suas inversas e aplicações à engenharia (12h)
TE5: Números complexos: Conceito, representação na forma algébrica e operações, representação gráfica, representação polar e operações (8h)",,,,,
H,Ciências Humanas,Básico,1,Comunicação Oral e Escrita,4,4,0,60,"TE1: Estratégias de leitura acadêmica: antecipação, seleção e síntese de informações em artigos científicos (10h)             
TE2: Processo de produção de resumo e resenha acadêmicos: diferença, estrutura composicional, planejamento, escrita e revisão (10h)
TE3: Processo de produção de gêneros orais acadêmicos: planejamento, produção de materiais de apoio e técnicas de interação com o público (10h)
TE4: Processo de produção de gêneros orais empresariais: diretrizes da comunicação na organização, estratégias para comunicação externa e interna e o evento reunião empresarial (15h)
TE5: Processo de comunicação para apresentação em público: elementos da comunicação verbal e não verbal e procedimentos para apresentação, elaboração e avaliação de exposição oral (15h)",,,,,
,,Básico,2,Algoritmos 2,4,4,0,60,"TE1: Ponteiros: declaração, uso e atribuição, operações, representação de ponteiros na memória, passagem por referência (15h)
TE2: Alocação Dinâmica: alocação de espaço de memória, operações com memória alocada, ponteiros de ponteiros, exemplos vetores, matrizes e registros (20h)
TE3: Recursividade: noções de iteração com recursividade, mapeamento de laços para recursividade, recursividade com retorno, recursividade múltipla, exemplo de otimização de recursividade múltipla via programação dinâmica (25h)",Algoritmos 1,,,,
,,Básico,2,Programação Orientada a Objetos,4,4,0,60,"TE1: Fundamentos de orientação a objetos: definições, artefatos, atributos, métodos, objetos, tipos de classes, operador de casting e o paralelo entre orientação à objetos e o paradigma estruturado (25h)
TE2: Relacionamento entre classes e objetos: encapsulamento, herança, tipos de polimorfismo e interfaces (25h)
TE3: Tratamento de exceções: definição, mecanismos de disparo e tratamento e classes de exceção (15h)
TE4: Desenvolvimento de aplicações: utilização de IDEs para implementação de aplicações utilizando paradigma de orientação à objetos (25h)",Algoritmos 1,,,,
,,Básico,2,Inteligência Artificial,4,4,0,60,"TE1: Fundamentos de IA: histórico da IA, representação do conhecimento, resolução de problemas, base de conhecimento, raciocínio encadeado e tipos de aprendizado (15h)
TE2: Logica Fuzzy: conjunto, Fuzzificação e pertinência (15h)
TE3: Redes Neurais: topologias, redes MLP, redes Bayesianas, algoritmo de treinamento e deep learning (15h)
TE4: Computação Evolutiva: definições, tipos de algoritmos e algoritmos genéticos (15h)",Introdução à Ciência de Dados e IA,,,,
,,Básico,2,Matemática Discreta,4,4,0,60,"TE1: Teoria dos conjuntos: conjuntos, lógica, funções e relações (15h)
TE2: Teoria dos números: números inteiros, princípios de indução e outras provas matemáticas (15h)
TE3: Combinatória: regras básicas de contagem, princípio de inclusão e exclusão (15h)
TE4: Grafos: árvores, fluxos em redes, emparelhamentos, grafos eulerianos, hamiltonianos, planares e coloridos (15h)",Fundamentos de Matemática,,,,
H,Ciências Humanas,Básico,2,Inglês Instrumental,4,4,0,60,"TE1: Estratégias de leitura: definições e prática de estratégias pre-reading (skimming e scanning) e reading (10h)
TE2: Principais gêneros das esferas instrucional e virtual: definições, tipologia textual e gêneros de aplicação em Ciência de Dados e IA (tutoriais, normas, blogs, fóruns etc.) (10h)
TE3: Estratégias de leitura frasal da língua inglesa: cognatos e principais estruturas gramaticais (10h)",,,,,
,,Básico,3,Estrutura de Dados 1,4,4,0,60,"TE1: Tipos abstratos de dados: definições, tipos e recursos para implementações (8h)
TE2: Pilhas e Filas: definições e operações, implementações e aplicações (26h)
TE3: Listas: definição, tipos, operações, implementação e aplicações (26h)
TE4: Árvore Binária: operações, busca e aplicações (30h)",Algoritmos 2,,,,
,,Básico,3,Banco de Dados 1,4,4,0,60,"TE1: Princípios de banco de dados: conceitos, aplicações e modelo relacional (relação, tupla, atributo, restrições de integridade e normalização) e construção de representações (15h)
TE2: Linguagem de Definição de Dados (DDL): criação, atualização e regras de integridade (20h)
TE3: Linguagem de Manipulação de Dados (DML): consultas simples, consultas aninhadas, operações de conjuntos, funções de agregação, inserção, remoção e atualização (25h)
TE4: Projeto de Banco de Dados: projeto conceitual, projeto lógico e projeto físico (30h)",Algoritmos 1,,,,
,,Específico,3,Mineração de Dados,4,4,0,60,"TE1: Ferramentas de manipulação de dados: processo de KDD, padrão de representação dos dados, repositório de dados abertos, manipulação de listas, matrizes e séries temporais, ferramentas e bibliotecas disponíveis (12h)
TE2: Pré-Processamento dos dados: análise visual dos dados, inputação de valores,  transformação do espaço de características, seleção de características e técnicas de desbalanceamento (18h)
TE3: Aprendizado supervisionado: metodologia de validação e avaliação, algoritmos de classificação, aplicações e tendências (18h)
TE4: Análise de resultados: importância dos atributos, seleção de modelos, curva de desempenho, análise de variabilidade (12h)",Inteligência Artificial,,,,
,,Básico,3,Probabilidade e Estatística,4,4,0,60,"TE1: Probabilidade: espaço amostral, eventos, axiomas e teoremas (10h)
TE2: Variável aleatórias: variável aleatória discreta, variável aleatória contínua e função de probabilidade (10h)
TE3: Inferência estatística: estimação de parâmetros, intervalos de confiança e testes de hipóteses (10h)
TE4: Testes de hipóteses: tipos de testes e aplicações (20h)
TE5: Controle Estatístico do Processo: diagrama de controle e aplicações (10h)",Fundamentos de Matemática,,,,
H,Ciências Humanas,Básico,3,Empreendedorismo,2,2,0,30,"TE1: O Mercado e as Oportunidades de Negócios: estrutura de mercado, tendências de novos negócios (8h)
TE2: O empreendedor e fatores de sucesso: características do empreendedor, inovação e criatividade (10h)
TE3: Gestão organizacional : conceitos, ferramentas e desenvolvimento de plano operacional, financeiro e mercadológico de um produto/serviço (12h) ",,,,,
,,Básico,4,Estrutura de Dados 2,4,4,0,60,"TE1: Algoritmos de ordenação: fundamentos, aplicações e complexidade computacional (15h)
TE2: Pesquisa em memória primária: algoritmo de busca sequencial e binária, uso de tabela de espalhamento (hashing) (10h)
TE3: Árvores balanceadas: operações, busca e aplicações de árvores avl, rubro-negra, conceitos/aplicações de árvores B (15h)
TE4: Grafos: representação, operações, busca e aplicações (10h)
TE5: Técnicas de projeto de algoritmo: divisão e conquista, algoritmos gulosos, programação dinâmica e backtracking (10h)",Estrutura de Dados 1,,,,
,,Básico,4,Sistemas de Computação e Comunicação de Dados,4,4,0,60,"TE1: Sistemas operacionais: classificação, estrutura, componentes, concorrência, configuração e utilização de sistemas Linux (10h)
TE2: Processos: definição e exemplos dos uso de threads, escalonamento, sincronização e deadlocks (10h)
TE3: Memória: formas de endereçamento, gerenciamento de memória virtual e real, alocação, swapping, segmentação e paginação de memória (10h)
TE4: Gerenciamento de dispositivos de entrada e saída: discos, interfaces com o usuário e o conceito de spooling (10h)
TE5: Princípios de Redes de Computadores e a Internet: conceitos, definições e aplicações, arquitetura de redes, topologia, arquitetura em camadas da Internet (10h)
TE6: Camada de Aplicação: conceitos e utilização dos protocolos HTTP, SSH, FTP, SMTP, IMAP, POP3, DNS, P2P, VPN (10h)",Introdução a Sistemas Computacionais,,,,
